ride_id,pickup_ts,dropoff_ts,passenger_count,trip_distance,fare_amount,tip_amount,payment_type
28,2024-01-01 19:44:00,2024-01-01 07:02:00,2,3.67,12.75,6.71,card
29,2024-01-01 13:05:00,2024-01-02 19:56:00,3,15.57,69.96,5.19,cash
30,2024-01-01 10:38:00,2024-01-02 20:13:00,2,17.18,49.2,7.01,cash
31,2024-01-01 10:48:00,2024-01-02 04:47:00,2,5.46,31.9,2.55,card
32,2024-01-01 05:27:00,2024-01-01 08:05:00,1,18.42,35.65,11.95,card
33,2024-01-01 02:12:00,2024-01-01 07:37:00,3,9.36,37.36,3.91,card
34,2024-01-01 13:18:00,2024-01-01 13:47:00,2,12.27,52.49,2.3,cash
35,2024-01-01 21:18:00,2024-01-02 03:47:00,1,19.7,74.51,3.7,card
36,2024-01-01 01:31:00,2024-01-01 07:30:00,3,7.55,74.96,12.63,card
37,2024-01-01 20:35:00,2024-01-01 21:57:00,4,16.36,34.36,4.95,cash
38,2024-01-01 19:51:00,2024-01-01 05:41:00,1,6.71,29.69,10.29,cash
39,2024-01-01 06:38:00,2024-01-02 02:00:00,2,16.08,38.83,12.85,card
40,2024-01-01 15:09:00,2024-01-01 01:10:00,4,12.21,47.6,1.17,card
41,2024-01-01 03:57:00,2024-01-02 10:04:00,3,4.72,39.64,11.48,wallet
42,2024-01-01 18:11:00,2024-01-01 02:48:00,4,8.57,54.41,4.61,cash
43,2024-01-01 16:48:00,2024-01-01 09:29:00,2,6.69,46.58,3.25,cash
44,2024-01-01 08:30:00,2024-01-01 08:31:00,2,2.02,29.05,10.33,card
45,2024-01-01 01:37:00,2024-01-02 15:54:00,3,1.08,30.93,13.65,card
46,2024-01-01 23:17:00,2024-01-01 02:43:00,1,7.26,33.39,4.43,card
47,2024-01-01 10:41:00,2024-01-01 20:41:00,1,0.87,12.1,8.53,cash
48,2024-01-01 21:26:00,2024-01-02 04:26:00,3,3.73,17.45,4.35,card
49,2024-01-01 16:16:00,2024-01-02 00:50:00,3,14.64,59.23,8.31,card
50,2024-01-01 18:40:00,2024-01-02 08:43:00,1,14.31,34.18,9.33,cash
51,2024-01-01 18:14:00,2024-01-02 14:34:00,3,14.9,21.09,9.16,wallet
52,2024-01-01 04:40:00,2024-01-01 18:59:00,2,6.68,47.2,9.35,cash
53,2024-01-01 08:44:00,2024-01-02 15:46:00,3,17.86,61.67,2.03,card
54,2024-01-01 11:12:00,2024-01-01 15:22:00,4,12.08,24.31,10.4,card
55,2024-01-01 11:56:00,2024-01-02 23:15:00,1,2.96,67.01,10.12,card
56,2024-01-01 01:03:00,2024-01-02 00:17:00,4,3.3,74.56,10.24,card
57,2024-01-01 13:07:00,2024-01-02 11:22:00,2,14.02,49.8,1.11,card
58,2024-01-01 03:42:00,2024-01-02 18:01:00,4,3.87,55.17,6.7,card
59,2024-01-01 17:50:00,2024-01-02 14:04:00,2,10.39,8.94,6.14,card
60,2024-01-01 16:23:00,2024-01-02 16:52:00,2,19.84,75.91,1.3,cash
61,2024-01-01 22:08:00,2024-01-02 01:49:00,4,0.58,34.44,3.34,wallet
62,2024-01-01 17:52:00,2024-01-01 02:14:00,3,0.82,74.29,6.61,card
63,2024-01-01 08:47:00,2024-01-01 23:45:00,1,19.87,48.42,11.14,card
64,2024-01-01 23:13:00,2024-01-01 08:50:00,3,11.9,5.35,3.56,card
65,2024-01-01 09:51:00,2024-01-02 18:41:00,4,2.97,7.89,12.45,card
66,2024-01-01 07:49:00,2024-01-01 11:29:00,2,18.0,56.03,8.19,card
67,2024-01-01 21:43:00,2024-01-01 11:04:00,4,17.67,47.2,11.41,card
68,2024-01-01 08:53:00,2024-01-01 12:05:00,3,10.96,6.99,7.09,cash
69,2024-01-01 01:49:00,2024-01-02 06:54:00,2,12.62,60.76,7.49,card
70,2024-01-01 11:16:00,2024-01-02 03:29:00,1,5.83,68.91,9.3,wallet
71,2024-01-01 19:05:00,2024-01-02 21:33:00,3,1.49,42.23,13.92,card
72,2024-01-01 04:32:00,2024-01-01 20:04:00,1,12.09,39.93,7.38,card
73,2024-01-01 11:06:00,2024-01-01 13:40:00,4,6.25,5.41,7.93,card
74,2024-01-01 03:07:00,2024-01-01 02:31:00,3,13.44,64.0,9.03,card
75,2024-01-01 16:28:00,2024-01-01 00:30:00,2,16.81,29.8,11.06,card
76,2024-01-01 11:25:00,2024-01-01 18:02:00,1,0.85,70.91,1.08,wallet
77,2024-01-01 07:55:00,2024-01-02 20:27:00,3,12.12,32.98,7.74,card
78,2024-01-01 05:26:00,2024-01-02 01:13:00,1,5.01,47.38,7.22,card
79,2024-01-01 13:32:00,2024-01-02 18:54:00,2,17.54,25.28,13.83,card
80,2024-01-01 16:04:00,2024-01-01 05:01:00,4,5.45,17.04,7.4,card
81,2024-01-01 22:34:00,2024-01-01 04:37:00,4,12.41,63.12,7.02,card
82,2024-01-01 10:29:00,2024-01-02 16:02:00,4,11.29,42.24,14.43,card
83,2024-01-01 03:51:00,2024-01-01 05:16:00,4,8.23,45.24,6.76,cash
84,2024-01-01 19:59:00,2024-01-01 02:39:00,3,13.71,77.41,2.71,card
85,2024-01-01 15:06:00,2024-01-01 19:29:00,1,14.65,77.27,3.25,card
86,2024-01-01 16:48:00,2024-01-02 20:24:00,4,11.56,69.17,1.43,cash
87,2024-01-01 02:20:00,2024-01-02 09:08:00,4,15.29,19.07,0.01,cash
88,2024-01-01 07:29:00,2024-01-01 04:54:00,4,19.68,49.57,6.48,card
89,2024-01-01 18:25:00,2024-01-02 16:12:00,3,8.68,70.86,11.54,card
90,2024-01-01 19:58:00,2024-01-02 16:31:00,1,10.53,33.08,11.0,card
91,2024-01-01 10:26:00,2024-01-02 14:27:00,3,0.74,12.58,0.48,card
92,2024-01-01 19:18:00,2024-01-02 19:20:00,2,16.02,65.82,8.55,card
93,2024-01-01 20:12:00,2024-01-01 11:38:00,4,10.64,41.13,2.31,cash
94,2024-01-01 09:17:00,2024-01-02 23:01:00,2,8.46,47.33,14.12,card
95,2024-01-01 21:33:00,2024-01-01 15:30:00,2,2.33,78.66,2.51,cash
96,2024-01-01 06:55:00,2024-01-02 14:31:00,1,17.85,50.54,9.4,card
97,2024-01-01 05:44:00,2024-01-02 03:52:00,4,8.2,36.87,4.89,cash
98,2024-01-01 16:22:00,2024-01-02 13:27:00,4,13.81,32.75,9.62,cash
99,2024-01-01 15:16:00,2024-01-02 06:11:00,1,3.41,36.32,6.18,card
100,2024-01-01 03:21:00,2024-01-02 06:53:00,2,19.25,13.88,11.39,card
101,2024-01-01 19:59:00,2024-01-02 05:38:00,2,3.98,64.61,3.46,card
102,2024-01-01 04:47:00,2024-01-02 13:25:00,2,4.39,67.83,13.59,cash
103,2024-01-01 19:19:00,2024-01-02 11:31:00,4,17.25,26.33,7.5,card
104,2024-01-01 00:10:00,2024-01-01 06:36:00,1,18.3,27.78,11.34,card
105,2024-01-01 19:07:00,2024-01-02 15:40:00,2,4.64,70.58,12.75,card
106,2024-01-01 18:53:00,2024-01-02 01:48:00,1,9.66,6.8,14.98,cash
107,2024-01-01 18:43:00,2024-01-01 15:37:00,1,14.8,44.03,3.36,card
108,2024-01-01 15:57:00,2024-01-02 00:45:00,4,17.63,39.78,4.3,card
109,2024-01-01 11:19:00,2024-01-02 22:25:00,4,7.89,56.76,3.76,wallet
110,2024-01-01 16:55:00,2024-01-02 17:11:00,1,10.58,17.25,3.94,card
111,2024-01-01 06:39:00,2024-01-02 16:02:00,3,14.96,55.12,8.74,cash
112,2024-01-01 18:44:00,2024-01-01 22:18:00,1,14.76,33.26,14.9,card
113,2024-01-01 13:20:00,2024-01-02 13:40:00,1,15.77,51.4,14.85,card
114,2024-01-01 11:00:00,2024-01-01 18:35:00,2,11.61,8.01,7.9,cash
115,2024-01-01 12:08:00,2024-01-02 08:59:00,1,2.54,39.63,9.59,cash
116,2024-01-01 13:38:00,2024-01-02 06:45:00,2,18.13,44.17,12.9,cash
117,2024-01-01 00:53:00,2024-01-01 12:06:00,4,17.38,21.07,13.99,card
118,2024-01-01 03:21:00,2024-01-01 12:54:00,3,16.06,15.47,3.06,card
119,2024-01-01 05:53:00,2024-01-01 03:05:00,3,2.45,19.14,7.93,card
120,2024-01-01 02:44:00,2024-01-01 06:51:00,2,4.49,30.81,12.49,card
121,2024-01-01 10:33:00,2024-01-01 20:54:00,1,15.0,12.26,4.55,card
122,2024-01-01 16:02:00,2024-01-01 23:01:00,1,0.95,76.05,6.6,card
123,2024-01-01 15:42:00,2024-01-01 08:03:00,2,19.59,35.37,14.78,card
124,2024-01-01 11:18:00,2024-01-01 20:06:00,1,7.85,65.67,14.78,card
125,2024-01-01 20:31:00,2024-01-02 05:03:00,4,14.53,78.08,13.59,card
126,2024-01-01 13:33:00,2024-01-01 11:17:00,4,17.81,11.06,11.98,card
127,2024-01-01 01:54:00,2024-01-01 16:20:00,4,8.2,53.88,4.04,cash
128,2024-01-01 18:21:00,2024-01-01 17:44:00,3,6.72,70.36,4.81,cash
129,2024-01-01 13:47:00,2024-01-02 00:19:00,3,12.37,52.57,8.21,card
130,2024-01-01 15:13:00,2024-01-01 17:41:00,3,11.83,37.18,8.41,cash
131,2024-01-01 13:34:00,2024-01-02 11:25:00,2,8.48,37.33,7.58,cash
132,2024-01-01 13:17:00,2024-01-01 15:49:00,3,12.23,7.69,9.55,card
133,2024-01-01 02:10:00,2024-01-01 20:55:00,4,18.74,45.1,6.12,card
134,2024-01-01 13:25:00,2024-01-01 18:19:00,4,9.62,79.52,11.24,card
135,2024-01-01 19:04:00,2024-01-01 08:54:00,3,4.34,76.9,5.0,card
136,2024-01-01 07:17:00,2024-01-02 08:58:00,1,7.86,8.03,4.96,cash
137,2024-01-01 14:28:00,2024-01-01 11:25:00,3,8.19,57.93,1.91,wallet
138,2024-01-01 00:44:00,2024-01-01 14:22:00,2,3.06,27.63,2.83,card
139,2024-01-01 08:20:00,2024-01-02 14:05:00,3,3.68,72.72,12.76,cash
140,2024-01-01 10:28:00,2024-01-02 21:33:00,3,13.85,8.38,6.69,card
141,2024-01-01 23:35:00,2024-01-02 08:15:00,4,7.12,75.19,3.42,card
142,2024-01-01 05:09:00,2024-01-02 19:59:00,2,19.12,67.81,11.39,cash
143,2024-01-01 06:38:00,2024-01-02 17:01:00,4,5.25,13.81,8.31,card
144,2024-01-01 09:48:00,2024-01-01 23:10:00,4,2.43,9.49,0.32,card
145,2024-01-01 23:49:00,2024-01-02 13:00:00,2,15.19,67.6,4.75,card
146,2024-01-01 20:28:00,2024-01-01 15:52:00,2,17.68,16.68,2.66,wallet
147,2024-01-01 00:49:00,2024-01-01 22:11:00,3,5.92,45.12,9.84,card
148,2024-01-01 05:36:00,2024-01-02 01:46:00,4,4.44,73.68,4.13,card
149,2024-01-01 19:43:00,2024-01-02 22:06:00,3,4.12,47.56,0.97,card
150,2024-01-01 01:23:00,2024-01-02 16:45:00,4,10.68,34.79,0.82,card
151,2024-01-01 20:32:00,2024-01-01 23:34:00,2,9.63,38.38,8.73,card
152,2024-01-01 06:45:00,2024-01-02 07:22:00,3,5.56,9.73,0.33,cash
153,2024-01-01 22:01:00,2024-01-01 09:50:00,2,1.38,77.66,12.73,cash
154,2024-01-01 07:02:00,2024-01-02 14:38:00,4,9.89,28.3,2.33,cash
155,2024-01-01 10:25:00,2024-01-02 02:37:00,2,19.21,19.2,9.1,cash
156,2024-01-01 15:53:00,2024-01-02 01:38:00,3,13.22,26.45,6.67,card
157,2024-01-01 03:01:00,2024-01-02 12:49:00,1,10.16,77.33,6.64,card
158,2024-01-01 13:22:00,2024-01-02 06:26:00,4,2.66,12.07,1.08,card
159,2024-01-01 12:07:00,2024-01-01 03:37:00,2,5.42,70.05,12.04,card
160,2024-01-01 18:48:00,2024-01-01 13:57:00,2,6.25,58.09,13.4,wallet
161,2024-01-01 23:54:00,2024-01-01 08:37:00,3,15.41,67.25,0.17,cash
162,2024-01-01 15:56:00,2024-01-02 11:19:00,2,17.6,78.19,2.68,wallet
163,2024-01-01 09:49:00,2024-01-01 01:50:00,4,18.08,68.16,13.56,card
164,2024-01-01 09:45:00,2024-01-01 09:50:00,3,19.7,75.75,8.24,card
165,2024-01-01 10:01:00,2024-01-02 04:44:00,3,19.66,14.52,2.25,card
166,2024-01-01 19:32:00,2024-01-02 09:24:00,1,19.08,64.68,3.04,card
167,2024-01-01 07:42:00,2024-01-02 00:14:00,1,1.9,45.93,9.9,card
168,2024-01-01 04:00:00,2024-01-02 17:20:00,2,3.19,45.76,10.87,card
169,2024-01-01 08:01:00,2024-01-02 20:07:00,4,6.44,72.42,8.99,card
170,2024-01-01 00:32:00,2024-01-01 06:29:00,4,11.28,77.89,14.3,wallet
171,2024-01-01 02:32:00,2024-01-02 21:43:00,3,2.39,57.86,7.41,card
172,2024-01-01 02:09:00,2024-01-02 05:33:00,3,16.99,41.22,4.5,card
173,2024-01-01 18:31:00,2024-01-02 06:35:00,2,12.53,39.23,7.16,cash
174,2024-01-01 17:20:00,2024-01-01 04:42:00,1,11.08,33.98,5.39,card
175,2024-01-01 16:43:00,2024-01-02 05:54:00,1,3.72,32.12,3.37,wallet
176,2024-01-01 11:05:00,2024-01-02 10:52:00,2,5.44,34.36,0.69,cash
177,2024-01-01 17:12:00,2024-01-02 03:56:00,2,3.63,11.73,5.28,card
178,2024-01-01 03:52:00,2024-01-01 04:12:00,1,17.11,10.81,10.67,cash
179,2024-01-01 21:36:00,2024-01-02 01:11:00,2,11.89,63.49,0.28,cash
180,2024-01-01 12:01:00,2024-01-02 20:56:00,1,14.84,38.46,6.59,cash
181,2024-01-01 22:30:00,2024-01-02 10:46:00,3,6.27,74.8,9.66,cash
182,2024-01-01 03:39:00,2024-01-01 06:44:00,4,7.74,50.92,9.16,cash
183,2024-01-01 11:56:00,2024-01-02 22:05:00,3,8.39,7.64,11.65,card
184,2024-01-01 16:42:00,2024-01-02 22:01:00,2,15.32,16.81,12.16,card
185,2024-01-01 11:53:00,2024-01-01 08:16:00,2,15.56,20.44,10.68,cash
186,2024-01-01 10:42:00,2024-01-02 14:28:00,2,4.53,78.18,1.54,wallet
187,2024-01-01 03:59:00,2024-01-01 19:37:00,1,18.86,21.4,7.13,card
188,2024-01-01 09:08:00,2024-01-02 04:33:00,3,2.85,43.68,9.05,cash
189,2024-01-01 05:43:00,2024-01-01 21:27:00,3,17.97,75.21,3.68,card
190,2024-01-01 07:14:00,2024-01-02 13:36:00,1,2.46,78.29,0.64,cash
191,2024-01-01 16:24:00,2024-01-02 23:50:00,2,5.66,22.73,3.35,wallet
192,2024-01-01 15:07:00,2024-01-02 14:11:00,2,17.01,8.68,6.82,card
193,2024-01-01 14:34:00,2024-01-02 20:43:00,1,4.0,16.52,6.21,card
194,2024-01-01 08:41:00,2024-01-02 21:25:00,3,8.56,9.75,2.65,card
195,2024-01-01 23:01:00,2024-01-01 04:28:00,3,9.27,19.63,12.37,card
196,2024-01-01 02:06:00,2024-01-01 12:17:00,3,5.28,47.64,13.89,card
197,2024-01-01 08:13:00,2024-01-02 10:41:00,3,14.35,73.43,3.02,card
198,2024-01-01 02:49:00,2024-01-02 04:23:00,4,17.1,45.29,13.94,card
199,2024-01-01 08:08:00,2024-01-01 02:33:00,4,17.55,51.95,0.27,card
200,2024-01-01 23:05:00,2024-01-01 04:42:00,3,7.12,20.14,13.87,card
201,2024-01-01 08:47:00,2024-01-02 01:03:00,4,10.85,65.04,14.28,cash
202,2024-01-01 21:48:00,2024-01-02 05:38:00,2,5.34,51.33,0.18,cash
203,2024-01-01 11:52:00,2024-01-01 08:11:00,4,5.27,69.81,11.45,cash
204,2024-01-01 16:47:00,2024-01-01 08:21:00,4,3.64,76.16,14.55,cash
205,2024-01-01 10:58:00,2024-01-01 06:21:00,3,18.83,31.09,13.59,cash
206,2024-01-01 06:22:00,2024-01-02 03:11:00,4,17.82,11.79,14.56,card
207,2024-01-01 18:20:00,2024-01-01 00:32:00,3,15.66,21.94,8.25,cash
208,2024-01-01 23:15:00,2024-01-02 03:32:00,3,10.59,37.84,1.17,card
209,2024-01-01 06:19:00,2024-01-01 22:55:00,2,10.07,75.93,12.75,card
210,2024-01-01 18:41:00,2024-01-01 22:27:00,4,10.83,33.37,9.21,card
211,2024-01-01 06:16:00,2024-01-02 08:39:00,3,10.96,62.81,9.22,cash
212,2024-01-01 17:12:00,2024-01-02 01:09:00,4,8.97,45.54,6.26,cash
213,2024-01-01 18:56:00,2024-01-02 10:58:00,2,3.07,18.71,8.58,card
214,2024-01-01 10:47:00,2024-01-02 12:42:00,4,2.95,29.06,2.3,card
215,2024-01-01 17:41:00,2024-01-02 20:10:00,1,19.07,53.99,11.1,card
216,2024-01-01 06:32:00,2024-01-02 14:23:00,1,9.9,55.46,1.13,cash
217,2024-01-01 01:54:00,2024-01-02 00:55:00,3,19.09,37.61,10.95,cash
218,2024-01-01 02:18:00,2024-01-01 23:42:00,3,3.69,22.15,12.73,card
219,2024-01-01 10:43:00,2024-01-01 11:26:00,4,11.31,59.14,7.09,card
220,2024-01-01 21:39:00,2024-01-02 04:50:00,2,4.55,17.67,7.65,card
221,2024-01-01 03:03:00,2024-01-01 06:49:00,3,5.44,75.25,4.68,card
222,2024-01-01 10:56:00,2024-01-02 20:42:00,3,1.09,19.09,14.54,cash
223,2024-01-01 16:53:00,2024-01-02 16:35:00,4,2.82,13.05,11.0,cash
224,2024-01-01 04:51:00,2024-01-01 05:53:00,3,18.38,42.32,5.53,card
225,2024-01-01 17:19:00,2024-01-02 13:45:00,2,6.77,43.97,2.62,card
226,2024-01-01 07:20:00,2024-01-01 05:46:00,4,12.36,43.11,3.29,card
227,2024-01-01 19:24:00,2024-01-02 10:39:00,1,9.57,37.75,6.96,card
228,2024-01-01 13:54:00,2024-01-01 04:21:00,4,8.31,79.61,14.14,card
229,2024-01-01 13:07:00,2024-01-01 23:31:00,1,10.87,41.47,11.01,card
230,2024-01-01 04:14:00,2024-01-02 07:38:00,2,4.15,40.85,3.23,wallet
231,2024-01-01 11:07:00,2024-01-02 11:01:00,4,19.78,36.63,12.89,card
232,2024-01-01 20:33:00,2024-01-01 20:11:00,3,16.46,10.01,5.67,card
233,2024-01-01 00:28:00,2024-01-02 20:15:00,4,14.96,49.47,12.78,card
234,2024-01-01 18:12:00,2024-01-02 13:12:00,3,9.64,22.1,3.63,card
235,2024-01-01 11:49:00,2024-01-01 10:07:00,3,3.48,52.82,9.28,cash
236,2024-01-01 17:16:00,2024-01-02 08:16:00,2,18.45,8.81,13.9,card
237,2024-01-01 15:55:00,2024-01-02 11:06:00,1,7.16,78.6,3.87,cash
238,2024-01-01 10:22:00,2024-01-01 16:07:00,1,1.48,40.18,10.39,cash
239,2024-01-01 07:24:00,2024-01-02 11:28:00,2,7.18,72.26,14.81,card
240,2024-01-01 15:03:00,2024-01-02 19:08:00,1,15.99,40.67,2.26,cash
241,2024-01-01 03:21:00,2024-01-02 15:15:00,3,12.64,9.52,1.33,wallet
242,2024-01-01 14:01:00,2024-01-02 12:38:00,4,15.14,66.67,10.11,card
243,2024-01-01 02:16:00,2024-01-02 06:31:00,4,15.98,53.61,5.1,card
244,2024-01-01 15:35:00,2024-01-01 13:06:00,2,4.63,63.63,1.07,wallet
245,2024-01-01 15:05:00,2024-01-02 14:12:00,4,18.51,37.11,7.13,cash
246,2024-01-01 02:01:00,2024-01-01 17:35:00,4,9.04,52.85,11.31,card
247,2024-01-01 18:10:00,2024-01-02 01:37:00,4,12.96,69.22,4.28,card
248,2024-01-01 09:58:00,2024-01-01 15:12:00,2,0.55,52.33,5.03,card
249,2024-01-01 18:53:00,2024-01-01 15:08:00,2,19.87,31.08,12.69,cash
250,2024-01-01 00:59:00,2024-01-01 07:42:00,4,5.98,54.69,7.8,card
251,2024-01-01 04:18:00,2024-01-02 22:08:00,1,1.71,55.39,12.64,card
252,2024-01-01 11:51:00,2024-01-01 07:14:00,2,9.44,77.04,6.7,cash
253,2024-01-01 04:31:00,2024-01-01 04:17:00,1,3.02,32.82,14.29,wallet
254,2024-01-01 07:55:00,2024-01-02 20:56:00,4,3.47,36.88,9.76,cash
255,2024-01-01 15:51:00,2024-01-02 02:42:00,3,12.83,65.91,1.74,card
256,2024-01-01 03:28:00,2024-01-01 21:06:00,1,8.16,42.93,13.28,card
257,2024-01-01 16:15:00,2024-01-02 11:26:00,1,18.48,60.24,7.34,wallet
258,2024-01-01 02:28:00,2024-01-01 18:30:00,3,6.72,39.48,2.12,wallet
259,2024-01-01 04:12:00,2024-01-01 06:17:00,3,14.66,21.16,2.29,card
260,2024-01-01 14:06:00,2024-01-02 11:04:00,4,9.49,60.89,10.31,cash
261,2024-01-01 19:02:00,2024-01-01 08:35:00,2,13.37,14.84,0.71,card
262,2024-01-01 04:05:00,2024-01-02 02:37:00,4,12.19,19.89,4.3,card
263,2024-01-01 07:11:00,2024-01-02 21:33:00,2,9.72,52.01,2.1,card
264,2024-01-01 22:12:00,2024-01-02 20:56:00,4,19.03,61.05,6.62,card
265,2024-01-01 23:45:00,2024-01-01 17:25:00,1,7.18,72.1,6.22,card
266,2024-01-01 13:56:00,2024-01-02 13:29:00,1,3.96,25.44,7.83,cash
267,2024-01-01 10:43:00,2024-01-02 05:28:00,1,13.72,13.3,4.19,card
268,2024-01-01 08:19:00,2024-01-01 23:05:00,2,17.0,76.7,0.48,card
269,2024-01-01 14:41:00,2024-01-01 06:51:00,4,1.28,16.58,9.22,card
270,2024-01-01 14:10:00,2024-01-01 18:10:00,1,9.27,19.83,5.61,card
271,2024-01-01 07:04:00,2024-01-02 07:21:00,2,17.9,26.85,9.77,card
272,2024-01-01 00:32:00,2024-01-02 23:21:00,1,15.12,44.7,1.63,card
273,2024-01-01 03:38:00,2024-01-01 00:24:00,4,19.84,71.21,0.21,card
274,2024-01-01 23:00:00,2024-01-02 10:29:00,3,10.86,62.04,3.72,cash
275,2024-01-01 10:02:00,2024-01-02 16:38:00,4,13.37,58.11,6.85,wallet
276,2024-01-01 11:34:00,2024-01-02 21:39:00,3,6.4,18.14,5.91,card
277,2024-01-01 11:12:00,2024-01-01 20:26:00,3,18.98,31.83,12.15,wallet
278,2024-01-01 18:47:00,2024-01-01 05:50:00,4,7.64,40.88,5.67,wallet
279,2024-01-01 01:33:00,2024-01-01 13:07:00,1,14.9,16.06,7.96,cash
280,2024-01-01 01:59:00,2024-01-02 16:51:00,4,8.36,25.51,8.9,cash
281,2024-01-01 06:37:00,2024-01-02 18:09:00,3,11.46,28.12,0.33,cash
282,2024-01-01 11:40:00,2024-01-02 06:38:00,3,14.54,14.55,7.73,cash
283,2024-01-01 16:06:00,2024-01-01 06:02:00,2,10.42,46.27,5.17,cash
284,2024-01-01 11:46:00,2024-01-01 05:59:00,4,18.19,57.88,6.32,card
285,2024-01-01 10:35:00,2024-01-01 23:02:00,2,8.68,10.24,1.5,wallet
286,2024-01-01 22:30:00,2024-01-02 04:18:00,1,13.12,41.08,11.74,card
287,2024-01-01 03:51:00,2024-01-01 01:42:00,4,7.18,63.67,14.14,cash
288,2024-01-01 13:43:00,2024-01-02 08:59:00,1,8.46,61.1,0.33,card
289,2024-01-01 13:00:00,2024-01-02 02:12:00,1,9.08,66.13,9.02,card
290,2024-01-01 11:21:00,2024-01-01 00:45:00,3,2.95,38.62,11.46,card
291,2024-01-01 19:22:00,2024-01-01 04:44:00,1,2.29,66.54,4.27,card
292,2024-01-01 06:24:00,2024-01-01 21:53:00,4,13.52,23.06,11.81,card
293,2024-01-01 22:53:00,2024-01-02 10:43:00,2,13.28,32.06,9.49,card
294,2024-01-01 07:57:00,2024-01-02 15:38:00,1,13.43,18.23,13.94,card
295,2024-01-01 13:04:00,2024-01-01 20:47:00,4,0.89,40.06,14.72,card
296,2024-01-01 12:29:00,2024-01-01 14:17:00,3,6.87,34.4,0.64,card
297,2024-01-01 20:23:00,2024-01-02 22:29:00,2,4.36,23.07,6.67,wallet
298,2024-01-01 10:32:00,2024-01-01 22:06:00,3,15.67,61.38,8.2,card
299,2024-01-01 06:49:00,2024-01-01 15:15:00,3,17.28,28.54,2.2,card
300,2024-01-01 00:31:00,2024-01-01 21:19:00,1,5.31,25.46,5.04,card
301,2024-01-01 08:43:00,2024-01-01 00:44:00,4,13.52,14.82,14.81,card
302,2024-01-01 19:49:00,2024-01-01 14:36:00,2,3.02,37.91,0.24,card
303,2024-01-01 00:14:00,2024-01-02 00:49:00,3,5.87,27.72,6.79,cash
304,2024-01-01 21:30:00,2024-01-02 20:05:00,4,3.2,32.7,12.64,wallet
305,2024-01-01 13:01:00,2024-01-02 11:28:00,3,6.03,22.7,4.86,card
306,2024-01-01 03:21:00,2024-01-02 13:32:00,3,13.66,62.24,7.2,cash
307,2024-01-01 07:15:00,2024-01-02 02:13:00,2,18.25,74.75,14.67,card
308,2024-01-01 13:17:00,2024-01-01 05:27:00,1,4.45,42.34,7.12,card
309,2024-01-01 07:34:00,2024-01-01 18:51:00,2,11.07,53.22,1.96,card
310,2024-01-01 02:36:00,2024-01-02 23:51:00,4,14.18,70.04,0.78,card
311,2024-01-01 15:59:00,2024-01-01 02:16:00,3,19.08,79.91,14.18,cash
312,2024-01-01 16:08:00,2024-01-02 18:13:00,2,12.4,51.01,3.99,cash
